@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
5,11,5,OUT
13,13,16,OUT
8,8,20,OUT
14,6,15,OUT
4,21,1,IN
2,3,2,IN
17,4,6,IN
6,7,8,IN
7,-1,10,IN
8,20,13,IN
10,6,12,IN
16,16,15,IN
12,10,20,IN
19,18,14,IN
15,12,16,OUT
20,19,7,OUT
9,8,9,OUT
13,14,11,OUT
18,13,17,OUT
11,-1,18,OUT
1,5,3,OUT
14,-1,19,OUT
5,1,5,OUT
3,2,4,OUT
2,4,2,IN
20,21,1,IN
3,2,5,IN
17,12,3,IN
19,18,4,IN
7,8,6,IN
1,1,14,IN
10,13,8,IN
13,10,15,IN
14,19,13,IN
15,22,17,OUT
5,-1,16,OUT
4,3,7,OUT
9,20,11,OUT
16,-1,18,OUT
18,-1,10,OUT
11,16,20,OUT
-1,9,9,OUT
8,14,19,OUT
6,6,12,OUT
7,1,1,IN
4,3,3,IN
3,7,6,IN
1,2,2,IN
13,10,8,IN
12,-1,9,IN
2,6,4,IN
20,8,10,IN
15,-1,17,IN
8,14,14,IN
11,21,15,OUT
10,16,18,OUT
17,15,19,OUT
16,-1,16,OUT
19,17,20,OUT
-1,11,12,OUT
14,12,11,OUT
5,4,5,OUT
9,20,7,OUT
6,9,13,OUT
3,-1,10,IN
2,-1,2,IN
9,-1,8,IN
4,-1,4,IN
1,-1,1,IN
6,-1,7,IN
12,-1,13,IN
20,-1,12,IN
16,-1,16,IN
15,-1,15,IN
13,-1,18,OUT
14,-1,19,OUT
10,-1,17,OUT
7,-1,3,OUT
5,-1,6,OUT
19,-1,9,OUT
8,-1,14,OUT
18,-1,5,OUT
17,-1,11,OUT
11,-1,-1,OUT
2,9,1,IN
4,21,2,IN
1,5,5,IN
5,1,3,IN
14,3,4,IN
13,7,7,IN
15,17,8,IN
6,-1,9,IN
16,20,17,IN
3,-1,18,IN
20,12,16,OUT
12,-1,13,OUT
17,19,11,OUT
10,10,20,OUT
11,15,19,OUT
19,22,14,OUT
8,8,10,OUT
7,14,15,OUT
9,18,12,OUT
18,2,6,OUT
4,1,1,IN
1,14,4,IN
5,5,2,IN
20,2,5,IN
3,4,20,IN
13,7,6,IN
2,9,3,IN
8,-1,8,IN
7,6,7,IN
9,11,15,IN
12,-1,9,OUT
18,17,17,OUT
6,20,10,OUT
15,21,19,OUT
16,10,12,OUT
10,-1,16,OUT
14,22,18,OUT
19,13,13,OUT
17,8,14,OUT
11,18,11,OUT
7,4,1,IN
3,6,2,IN
2,9,3,IN
1,1,4,IN
4,5,5,IN
18,7,8,IN
19,8,10,IN
9,11,14,IN
8,-1,12,IN
11,-1,9,IN
15,16,13,OUT
20,12,11,OUT
12,15,16,OUT
16,-1,17,OUT
17,19,18,OUT
14,20,20,OUT
6,10,7,OUT
-1,-1,19,OUT
13,14,15,OUT
5,3,6,OUT
4,3,1,IN
1,6,2,IN
20,2,6,IN
2,9,4,IN
3,8,3,IN
17,4,7,IN
19,13,12,IN
-1,10,16,IN
9,16,9,IN
7,20,14,IN
14,-1,18,OUT
11,14,17,OUT
12,15,10,OUT
10,-1,15,OUT
13,18,13,OUT
16,19,19,OUT
8,5,8,OUT
6,7,11,OUT
5,11,5,OUT
15,22,20,OUT
1,2,1,IN
5,6,6,IN
2,3,8,IN
3,5,3,IN
4,4,7,IN
9,18,5,IN
11,-1,4,IN
8,9,9,IN
17,8,11,IN
19,7,2,IN
15,17,16,OUT
12,19,14,OUT
6,10,12,OUT
10,15,15,OUT
7,11,20,OUT
20,20,19,OUT
18,14,13,OUT
16,16,18,OUT
14,-1,10,OUT
13,21,17,OUT
1,3,5,IN
4,2,3,IN
2,20,6,IN
14,14,10,IN
9,8,12,IN
20,15,11,IN
19,-1,9,IN
7,-1,18,IN
15,22,15,IN
6,18,14,IN
8,12,17,OUT
16,16,19,OUT
11,10,16,OUT
13,21,7,OUT
18,17,20,OUT
12,9,13,OUT
17,7,8,OUT
3,5,1,OUT
10,6,2,OUT
5,4,4,OUT
19,2,3,IN
1,18,1,IN
2,1,4,IN
18,22,20,IN
3,5,5,IN
5,6,9,IN
7,-1,7,IN
8,-1,13,IN
11,13,11,IN
10,16,6,IN
17,7,10,OUT
13,20,17,OUT
9,21,16,OUT
-1,-1,15,OUT
6,10,12,OUT
14,8,8,OUT
12,15,18,OUT
15,12,19,OUT
4,11,14,OUT
20,4,2,OUT
2,3,1,IN
1,2,5,IN
3,6,4,IN
5,10,2,IN
20,5,6,IN
10,21,7,IN
6,7,8,IN
12,14,13,IN
13,11,16,IN
9,9,9,IN
11,16,10,OUT
15,12,14,OUT
14,-1,17,OUT
7,-1,11,OUT
17,22,20,OUT
8,-1,18,OUT
16,8,12,OUT
18,15,19,OUT
4,4,3,OUT
19,17,15,OUT
1,1,1,IN
19,4,2,IN
5,19,5,IN
2,20,6,IN
4,16,3,IN
6,18,7,IN
20,6,8,IN
7,8,10,IN
10,7,11,IN
-1,11,12,IN
16,-1,17,OUT
14,-1,13,OUT
-1,-1,18,OUT
9,10,14,OUT
18,14,16,OUT
8,12,20,OUT
11,5,9,OUT
3,3,4,OUT
15,17,19,OUT
17,22,15,OUT
4,4,2,IN
5,8,4,IN
3,6,5,IN
2,5,1,IN
6,21,6,IN
11,-1,12,IN
8,10,10,IN
16,17,18,IN
1,1,3,IN
17,13,14,IN
9,9,11,OUT
12,-1,15,OUT
-1,-1,-1,OUT
19,22,17,OUT
14,20,19,OUT
7,16,9,OUT
15,11,16,OUT
-1,-1,13,OUT
20,7,8,OUT
18,3,7,OUT
4,5,2,IN
2,11,1,IN
3,20,3,IN
9,1,20,IN
1,3,4,IN
20,8,5,IN
11,18,10,IN
10,10,7,IN
7,4,6,IN
19,7,8,IN
16,6,9,OUT
13,-1,17,OUT
17,21,19,OUT
14,15,16,OUT
15,22,12,OUT
6,-1,18,OUT
18,-1,15,OUT
5,12,11,OUT
12,-1,13,OUT
8,14,14,OUT
2,21,1,IN
4,1,2,IN
1,3,3,IN
3,6,5,IN
5,4,6,IN
10,7,7,IN
9,8,8,IN
18,13,9,IN
8,10,11,IN
7,9,10,IN
15,11,16,OUT
19,-1,13,OUT
20,22,14,OUT
14,14,18,OUT
17,-1,20,OUT
12,-1,17,OUT
13,15,19,OUT
16,-1,15,OUT
11,18,12,OUT
6,5,4,OUT
-1,1,3,IN
-1,2,1,IN
-1,4,2,IN
-1,17,5,IN
-1,14,11,IN
-1,5,4,IN
-1,11,8,IN
-1,3,10,IN
-1,13,12,IN
-1,8,9,IN
-1,7,13,OUT
-1,10,15,OUT
-1,-1,18,OUT
-1,16,14,OUT
-1,-1,16,OUT
-1,20,7,OUT
-1,15,6,OUT
-1,-1,20,OUT
-1,18,17,OUT
-1,-1,19,OUT
1,1,1,IN
8,3,3,IN
2,2,4,IN
18,-1,6,IN
17,19,7,IN
7,9,8,IN
5,14,13,IN
9,20,14,IN
19,15,17,IN
12,10,9,IN
10,16,10,OUT
13,-1,19,OUT
16,8,16,OUT
14,17,20,OUT
20,-1,18,OUT
11,7,12,OUT
15,-1,11,OUT
3,4,2,OUT
6,18,15,OUT
4,5,5,OUT
20,4,6,IN
2,6,3,IN
18,5,2,IN
3,1,4,IN
19,3,5,IN
6,12,7,IN
7,16,13,IN
1,2,1,IN
11,7,9,IN
5,8,11,IN
10,10,12,OUT
16,9,8,OUT
8,18,14,OUT
14,20,18,OUT
15,-1,16,OUT
9,15,20,OUT
13,11,10,OUT
4,-1,17,OUT
12,-1,19,OUT
17,-1,15,OUT
4,5,2,IN
3,14,6,IN
12,15,8,IN
8,4,1,IN
9,8,10,IN
19,-1,14,IN
7,9,13,IN
14,3,11,IN
13,12,16,IN
20,-1,19,IN
16,11,18,OUT
18,-1,17,OUT
10,7,15,OUT
2,2,3,OUT
17,13,20,OUT
5,18,5,OUT
1,1,4,OUT
6,17,9,OUT
11,6,7,OUT
15,-1,12,OUT
1,1,1,IN
14,17,2,IN
16,19,5,IN
4,2,3,IN
17,3,6,IN
13,14,7,IN
5,7,9,IN
7,12,8,IN
3,4,15,IN
6,-1,14,IN
8,16,19,OUT
10,-1,20,OUT
11,11,17,OUT
20,-1,18,OUT
9,18,11,OUT
19,5,13,OUT
2,20,4,OUT
15,10,10,OUT
12,-1,12,OUT
18,6,16,OUT
5,3,1,IN
4,1,2,IN
1,7,3,IN
17,2,4,IN
2,4,5,IN
16,12,6,IN
19,-1,10,IN
20,20,11,IN
3,5,20,IN
7,6,8,IN
13,17,17,OUT
9,13,9,OUT
6,10,19,OUT
15,16,12,OUT
18,8,15,OUT
14,-1,13,OUT
11,15,18,OUT
10,-1,14,OUT
12,-1,16,OUT
8,-1,7,OUT
2,4,1,IN
5,2,2,IN
9,18,3,IN
1,3,6,IN
3,1,4,IN
4,7,5,IN
8,8,7,IN
10,20,9,IN
6,6,8,IN
18,-1,13,IN
7,-1,16,OUT
15,10,20,OUT
13,12,11,OUT
12,5,10,OUT
11,13,19,OUT
14,14,15,OUT
16,-1,18,OUT
20,16,14,OUT
19,-1,12,OUT
17,9,17,OUT
5,-1,1,IN
3,-1,4,IN
6,-1,6,IN
4,-1,5,IN
1,-1,3,IN
13,-1,9,IN
2,-1,2,IN
8,-1,7,IN
7,-1,12,IN
10,-1,8,IN
12,-1,10,OUT
16,-1,18,OUT
15,-1,15,OUT
19,-1,17,OUT
17,-1,19,OUT
18,-1,16,OUT
20,-1,20,OUT
14,-1,13,OUT
9,-1,11,OUT
11,-1,14,OUT
2,20,5,IN
3,5,4,IN
5,2,3,IN
11,6,6,IN
6,18,8,IN
19,8,11,IN
18,7,17,IN
16,19,14,IN
10,-1,13,IN
13,15,20,IN
20,-1,12,OUT
8,17,9,OUT
15,-1,18,OUT
17,10,15,OUT
12,12,16,OUT
1,4,2,OUT
14,-1,19,OUT
4,3,7,OUT
7,1,1,OUT
9,13,10,OUT
3,7,2,IN
16,1,1,IN
2,3,3,IN
19,2,4,IN
18,5,6,IN
20,6,11,IN
6,8,10,IN
8,18,13,IN
5,12,7,IN
7,9,12,IN
15,11,17,OUT
14,16,19,OUT
11,-1,14,OUT
13,-1,18,OUT
1,4,5,OUT
4,13,8,OUT
12,19,16,OUT
10,14,15,OUT
9,-1,9,OUT
17,-1,20,OUT
2,-1,14,IN
4,-1,2,IN
3,-1,3,IN
15,-1,4,IN
6,-1,7,IN
16,-1,6,IN
10,-1,10,IN
7,-1,16,IN
18,-1,13,IN
20,-1,18,IN
9,-1,5,OUT
17,-1,8,OUT
11,-1,20,OUT
13,-1,17,OUT
19,-1,9,OUT
8,-1,11,OUT
12,-1,19,OUT
1,-1,1,OUT
14,-1,12,OUT
5,-1,15,OUT
1,4,1,IN
18,1,4,IN
3,2,3,IN
20,20,12,IN
2,3,2,IN
14,-1,6,IN
11,13,9,IN
16,6,11,IN
12,7,5,IN
6,19,10,IN
10,-1,8,OUT
5,17,13,OUT
8,9,18,OUT
7,8,19,OUT
9,16,14,OUT
19,-1,20,OUT
17,14,15,OUT
13,10,16,OUT
4,5,7,OUT
15,-1,17,OUT
2,2,2,IN
1,1,1,IN
19,19,7,IN
5,5,10,IN
14,17,4,IN
13,9,3,IN
10,7,5,IN
7,15,9,IN
6,-1,11,IN
15,16,14,IN
9,10,16,OUT
16,-1,18,OUT
17,11,19,OUT
11,-1,12,OUT
18,14,20,OUT
4,3,8,OUT
3,4,6,OUT
20,-1,13,OUT
8,18,17,OUT
12,6,15,OUT
2,1,3,IN
17,5,1,IN
4,2,4,IN
1,3,2,IN
3,10,5,IN
6,6,8,IN
5,9,16,IN
11,14,7,IN
13,7,10,IN
12,-1,12,IN
18,-1,17,OUT
15,19,20,OUT
20,13,14,OUT
9,-1,9,OUT
10,18,19,OUT
8,11,11,OUT
16,4,15,OUT
19,17,13,OUT
14,-1,18,OUT
7,15,6,OUT
1,1,1,IN
5,19,2,IN
4,18,3,IN
3,3,4,IN
2,20,5,IN
17,2,6,IN
18,17,11,IN
8,4,12,IN
11,-1,13,IN
13,14,10,IN
15,15,14,OUT
12,7,18,OUT
14,-1,15,OUT
9,8,20,OUT
20,9,8,OUT
7,5,7,OUT
19,-1,17,OUT
16,13,16,OUT
10,-1,19,OUT
6,10,9,OUT
1,4,2,IN
4,1,1,IN
3,2,3,IN
5,3,4,IN
2,5,11,IN
6,17,12,IN
9,-1,7,IN
18,13,5,IN
20,7,6,IN
16,6,8,IN
15,19,9,OUT
10,8,15,OUT
11,15,10,OUT
7,20,17,OUT
14,11,20,OUT
12,14,19,OUT
8,10,14,OUT
19,-1,18,OUT
13,-1,13,OUT
17,-1,16,OUT
1,1,1,IN
2,4,2,IN
5,2,3,IN
6,3,15,IN
4,5,4,IN
3,19,9,IN
10,7,10,IN
11,9,5,IN
9,6,8,IN
17,20,13,IN
19,13,7,OUT
13,18,20,OUT
20,-1,6,OUT
14,11,18,OUT
16,14,19,OUT
18,-1,17,OUT
15,16,14,OUT
7,-1,11,OUT
12,17,16,OUT
8,8,12,OUT
5,3,3,IN
3,4,15,IN
1,1,1,IN
6,2,2,IN
2,5,4,IN
19,20,7,IN
10,7,11,IN
7,8,10,IN
13,-1,14,IN
12,15,19,IN
15,12,20,OUT
11,-1,13,OUT
16,-1,17,OUT
17,11,18,OUT
18,-1,9,OUT
4,18,5,OUT
8,14,8,OUT
14,17,16,OUT
9,6,6,OUT
20,16,12,OUT
2,1,2,IN
4,4,4,IN
1,3,6,IN
3,9,3,IN
5,2,5,IN
6,19,7,IN
15,-1,9,IN
11,12,17,IN
10,17,10,IN
12,13,15,IN
19,5,11,OUT
14,6,19,OUT
13,-1,20,OUT
9,18,14,OUT
20,8,18,OUT
17,15,16,OUT
16,20,1,OUT
8,7,13,OUT
7,16,8,OUT
18,10,12,OUT
4,4,1,IN
1,5,5,IN
3,3,4,IN
17,6,6,IN
5,2,3,IN
2,1,2,IN
7,-1,8,IN
16,15,9,IN
15,20,11,IN
18,9,12,IN
14,17,17,OUT
19,11,16,OUT
10,12,10,OUT
8,19,20,OUT
11,18,13,OUT
13,-1,15,OUT
20,8,18,OUT
12,16,19,OUT
6,10,14,OUT
9,13,7,OUT
1,2,1,IN
6,3,3,IN
2,5,6,IN
4,20,5,IN
5,1,2,IN
12,19,11,IN
7,-1,8,IN
10,7,14,IN
8,11,7,IN
9,13,13,IN
17,9,15,OUT
11,15,16,OUT
18,18,20,OUT
14,12,18,OUT
16,-1,19,OUT
13,16,17,OUT
15,8,9,OUT
20,17,12,OUT
3,4,4,OUT
19,6,10,OUT
-1,8,2,IN
-1,2,1,IN
-1,6,4,IN
-1,1,3,IN
-1,13,5,IN
-1,17,7,IN
-1,7,11,IN
-1,3,9,IN
-1,14,16,IN
-1,-1,15,IN
-1,18,17,OUT
-1,-1,8,OUT
-1,11,10,OUT
-1,-1,13,OUT
-1,-1,14,OUT
-1,-1,19,OUT
-1,-1,20,OUT
-1,16,6,OUT
-1,4,12,OUT
-1,10,18,OUT
2,3,3,IN
1,2,4,IN
5,12,1,IN
3,19,5,IN
4,1,2,IN
12,-1,10,IN
8,18,9,IN
11,4,13,IN
14,-1,12,IN
13,16,14,IN
15,-1,16,OUT
10,-1,15,OUT
6,5,6,OUT
9,14,18,OUT
16,-1,19,OUT
17,-1,20,OUT
7,6,17,OUT
19,20,11,OUT
20,11,7,OUT
18,13,8,OUT
1,4,2,IN
2,2,1,IN
5,8,3,IN
4,5,5,IN
3,19,4,IN
8,18,6,IN
18,1,7,IN
10,12,12,IN
7,3,13,IN
9,-1,-1,IN
20,17,10,OUT
14,14,16,OUT
13,10,9,OUT
19,9,14,OUT
11,-1,-1,OUT
15,-1,17,OUT
16,-1,18,OUT
6,-1,15,OUT
12,-1,11,OUT
17,6,8,OUT
2,14,1,IN
1,1,2,IN
3,4,3,IN
4,16,4,IN
5,6,9,IN
8,3,5,IN
14,5,10,IN
18,-1,7,IN
12,8,14,IN
9,2,19,IN
10,-1,12,OUT
15,-1,8,OUT
13,13,13,OUT
20,18,16,OUT
16,-1,17,OUT
17,-1,18,OUT
6,12,20,OUT
11,15,15,OUT
19,-1,6,OUT
7,17,11,OUT
2,1,2,IN
1,2,1,IN
4,3,4,IN
3,4,3,IN
5,10,5,IN
17,19,6,IN
13,6,8,IN
7,7,13,IN
19,-1,9,IN
18,18,7,IN
11,-1,12,OUT
20,5,10,OUT
14,20,16,OUT
10,17,14,OUT
6,9,15,OUT
12,-1,18,OUT
15,-1,19,OUT
16,-1,20,OUT
9,11,17,OUT
8,-1,11,OUT
1,3,1,IN
4,2,4,IN
2,5,2,IN
3,9,3,IN
6,7,5,IN
8,10,9,IN
9,-1,8,IN
11,-1,10,IN
12,1,7,IN
10,15,13,IN
20,-1,12,OUT
15,12,17,OUT
13,8,11,OUT
7,13,6,OUT
17,-1,19,OUT
19,17,18,OUT
14,4,14,OUT
18,-1,20,OUT
16,-1,15,OUT
5,18,16,OUT
1,5,2,IN
2,1,1,IN
20,10,3,IN
3,2,6,IN
4,3,11,IN
9,4,4,IN
13,7,7,IN
5,11,5,IN
16,20,18,IN
7,-1,12,IN
6,8,9,OUT
12,14,16,OUT
19,-1,13,OUT
10,12,15,OUT
17,6,17,OUT
15,-1,19,OUT
14,13,10,OUT
18,-1,20,OUT
8,-1,14,OUT
11,-1,8,OUT
1,1,1,IN
4,7,2,IN
3,10,3,IN
5,2,4,IN
2,5,7,IN
11,8,6,IN
15,3,12,IN
7,9,13,IN
20,-1,5,IN
8,20,9,IN
6,4,8,OUT
12,18,14,OUT
9,17,18,OUT
10,-1,16,OUT
19,-1,11,OUT
13,-1,10,OUT
17,6,15,OUT
18,-1,20,OUT
16,-1,19,OUT
14,11,17,OUT
4,1,3,IN
3,9,1,IN
2,19,4,IN
5,3,10,IN
1,16,2,IN
9,-1,6,IN
10,11,9,IN
6,12,15,IN
7,2,7,IN
16,-1,8,IN
12,7,16,OUT
11,18,14,OUT
8,20,12,OUT
13,14,17,OUT
15,-1,13,OUT
20,4,11,OUT
14,-1,18,OUT
19,-1,19,OUT
17,5,5,OUT
18,-1,20,OUT
5,2,2,IN
3,4,1,IN
2,19,3,IN
7,13,5,IN
1,15,4,IN
8,17,13,IN
12,5,7,IN
9,3,12,IN
17,-1,17,IN
13,6,10,IN
6,-1,8,OUT
15,-1,9,OUT
14,12,18,OUT
18,-1,19,OUT
20,-1,20,OUT
4,1,6,OUT
11,10,15,OUT
10,-1,11,OUT
16,16,14,OUT
19,9,16,OUT
5,4,2,IN
16,18,20,IN
9,-1,14,IN
13,17,15,IN
6,12,7,IN
12,-1,17,IN
19,6,6,IN
20,11,12,IN
1,1,1,IN
15,-1,19,IN
14,-1,18,OUT
8,3,5,OUT
18,-1,11,OUT
4,14,4,OUT
2,2,3,OUT
10,5,9,OUT
3,15,10,OUT
11,-1,16,OUT
7,20,13,OUT
17,7,8,OUT
9,1,3,IN
1,19,1,IN
2,2,5,IN
17,20,4,IN
5,9,8,IN
14,6,6,IN
12,3,10,IN
15,5,2,IN
18,-1,7,IN
6,-1,12,IN
20,14,17,OUT
16,12,11,OUT
8,7,15,OUT
19,4,18,OUT
3,-1,13,OUT
11,-1,16,OUT
4,17,19,OUT
13,-1,14,OUT
10,-1,20,OUT
7,10,9,OUT
4,18,1,IN
1,2,3,IN
8,4,4,IN
3,1,2,IN
10,-1,14,IN
11,5,9,IN
15,-1,18,IN
12,20,7,IN
6,9,16,IN
17,13,13,IN
9,-1,12,OUT
13,8,10,OUT
20,7,11,OUT
14,16,6,OUT
16,-1,19,OUT
7,17,8,OUT
19,-1,20,OUT
18,-1,15,OUT
5,11,17,OUT
2,3,5,OUT
1,11,1,IN
3,3,3,IN
2,1,2,IN
14,17,5,IN
8,13,6,IN
5,-1,8,IN
6,7,17,IN
20,5,20,IN
18,-1,11,IN
11,-1,14,IN
9,14,15,OUT
10,9,9,OUT
4,4,4,OUT
15,-1,18,OUT
16,2,10,OUT
13,20,16,OUT
17,-1,19,OUT
12,16,12,OUT
7,-1,13,OUT
19,8,7,OUT
13,3,3,IN
1,9,1,IN
8,2,4,IN
3,1,2,IN
2,4,5,IN
6,-1,6,IN
10,-1,9,IN
11,13,12,IN
5,10,8,IN
9,-1,11,IN
16,15,17,OUT
20,8,7,OUT
12,14,16,OUT
4,6,20,OUT
19,-1,15,OUT
17,-1,19,OUT
18,18,14,OUT
15,5,13,OUT
7,16,10,OUT
14,-1,18,OUT
4,1,2,IN
5,2,5,IN
2,7,1,IN
3,5,4,IN
6,-1,19,IN
12,17,6,IN
19,10,12,IN
7,-1,8,IN
17,8,14,IN
9,12,7,IN
13,15,15,OUT
15,-1,20,OUT
18,4,16,OUT
8,19,11,OUT
10,-1,13,OUT
16,-1,18,OUT
20,-1,17,OUT
1,3,3,OUT
14,6,10,OUT
11,11,9,OUT
2,2,3,IN
18,6,1,IN
1,1,4,IN
5,-1,6,IN
6,10,7,IN
3,18,2,IN
14,11,9,IN
7,7,17,IN
11,17,12,IN
12,-1,14,IN
8,-1,8,OUT
13,5,13,OUT
20,8,10,OUT
15,-1,11,OUT
9,20,19,OUT
17,-1,18,OUT
16,-1,20,OUT
4,3,5,OUT
19,4,16,OUT
10,19,15,OUT
3,4,4,IN
2,2,3,IN
1,5,6,IN
6,7,2,IN
4,-1,5,IN
18,1,1,IN
8,18,11,IN
19,17,13,IN
7,10,10,IN
20,6,12,IN
10,-1,9,OUT
9,12,16,OUT
5,19,7,OUT
14,-1,15,OUT
15,15,17,OUT
16,-1,19,OUT
13,16,18,OUT
17,-1,20,OUT
12,3,14,OUT
11,-1,8,OUT
3,5,1,IN
1,3,5,IN
6,2,3,IN
4,15,4,IN
5,-1,6,IN
8,16,9,IN
20,-1,8,IN
13,7,7,IN
10,6,11,IN
7,8,19,IN
19,1,17,OUT
11,-1,13,OUT
12,14,14,OUT
14,-1,16,OUT
17,17,15,OUT
9,12,10,OUT
16,-1,18,OUT
15,20,12,OUT
18,-1,20,OUT
2,4,2,OUT
3,2,1,IN
16,13,7,IN
8,12,20,IN
11,3,9,IN
14,-1,13,IN
6,4,12,IN
2,1,3,IN
7,-1,11,IN
10,10,15,IN
12,-1,16,IN
18,9,10,OUT
17,-1,18,OUT
15,8,8,OUT
5,-1,6,OUT
9,19,14,OUT
19,-1,19,OUT
20,6,2,OUT
4,7,4,OUT
13,18,17,OUT
1,5,5,OUT
7,1,1,IN
1,3,3,IN
18,7,4,IN
20,5,2,IN
17,2,5,IN
14,-1,6,IN
9,8,11,IN
8,-1,7,IN
10,-1,14,IN
3,6,9,IN
6,4,8,OUT
15,20,10,OUT
4,19,18,OUT
11,10,15,OUT
13,9,16,OUT
5,-1,17,OUT
12,-1,19,OUT
2,16,12,OUT
16,-1,20,OUT
19,13,13,OUT
-1,3,1,IN
-1,2,7,IN
-1,6,4,IN
-1,5,2,IN
-1,8,8,IN
-1,11,6,IN
-1,7,12,IN
-1,-1,14,IN
-1,10,18,IN
-1,4,11,IN
-1,-1,20,OUT
-1,17,13,OUT
-1,15,5,OUT
-1,9,19,OUT
-1,18,17,OUT
-1,16,15,OUT
-1,19,16,OUT
-1,14,9,OUT
-1,12,10,OUT
-1,1,3,OUT
4,-1,1,IN
1,-1,4,IN
20,-1,2,IN
13,-1,7,IN
3,-1,6,IN
6,-1,17,IN
18,-1,13,IN
19,-1,9,IN
5,-1,3,IN
12,-1,14,IN
14,-1,16,OUT
17,-1,15,OUT
16,-1,20,OUT
9,-1,19,OUT
7,-1,8,OUT
15,-1,12,OUT
11,-1,18,OUT
8,-1,5,OUT
2,-1,11,OUT
10,-1,10,OUT
1,1,1,IN
3,2,7,IN
2,8,2,IN
7,17,3,IN
4,10,13,IN
20,3,5,IN
6,11,4,IN
8,14,11,IN
9,5,9,IN
12,13,16,IN
19,4,6,OUT
10,15,17,OUT
5,9,8,OUT
18,-1,14,OUT
11,7,20,OUT
13,20,18,OUT
14,18,19,OUT
16,16,12,OUT
17,-1,15,OUT
15,6,10,OUT
1,1,1,IN
2,5,3,IN
11,3,4,IN
8,7,8,IN
13,11,5,IN
14,-1,9,IN
20,4,11,IN
5,12,12,IN
4,13,6,IN
6,16,10,IN
3,2,2,OUT
18,14,15,OUT
9,6,7,OUT
17,18,17,OUT
19,-1,20,OUT
16,19,19,OUT
15,8,18,OUT
12,9,14,OUT
10,20,16,OUT
-1,10,13,OUT
2,-1,4,IN
1,-1,2,IN
11,-1,1,IN
3,-1,8,IN
8,-1,9,IN
9,-1,6,IN
20,-1,3,IN
6,-1,11,IN
5,-1,10,IN
18,-1,16,IN
7,-1,7,OUT
10,-1,12,OUT
13,-1,13,OUT
4,-1,5,OUT
17,-1,20,OUT
16,-1,14,OUT
14,-1,19,OUT
12,-1,15,OUT
15,-1,18,OUT
19,-1,17,OUT
2,1,1,IN
1,3,3,IN
3,2,2,IN
6,19,5,IN
-1,15,4,IN
13,8,7,IN
12,4,11,IN
5,11,6,IN
11,6,10,IN
9,20,8,IN
14,12,13,OUT
10,9,12,OUT
8,-1,15,OUT
15,14,14,OUT
20,7,16,OUT
17,16,20,OUT
18,17,18,OUT
19,-1,19,OUT
16,10,17,OUT
4,5,9,OUT
1,2,1,IN
3,3,2,IN
2,20,3,IN
11,14,4,IN
13,-1,6,IN
8,5,5,IN
10,11,10,IN
9,9,12,IN
4,10,9,IN
5,6,8,IN
12,7,11,OUT
14,16,16,OUT
7,4,14,OUT
20,1,13,OUT
19,13,17,OUT
18,-1,19,OUT
15,12,20,OUT
16,18,18,OUT
17,15,15,OUT
6,19,7,OUT
8,11,10,IN
20,20,3,IN
9,12,8,IN
7,10,6,IN
2,2,2,IN
4,4,7,IN
1,3,1,IN
5,-1,12,IN
11,19,11,IN
10,7,4,IN
16,-1,20,OUT
15,16,16,OUT
12,15,14,OUT
19,14,19,OUT
6,6,9,OUT
18,9,18,OUT
3,8,5,OUT
14,1,13,OUT
17,18,15,OUT
13,13,17,OUT
7,-1,1,IN
5,-1,2,IN
15,-1,4,IN
6,-1,8,IN
10,-1,6,IN
4,-1,11,IN
9,-1,12,IN
18,-1,5,IN
13,-1,13,IN
20,-1,14,IN
14,-1,18,OUT
12,-1,15,OUT
3,-1,7,OUT
8,-1,10,OUT
11,-1,19,OUT
19,-1,20,OUT
16,-1,17,OUT
2,-1,9,OUT
17,-1,3,OUT
1,-1,16,OUT
2,2,3,IN
19,4,2,IN
1,1,1,IN
5,7,4,IN
4,19,5,IN
8,3,11,IN
14,-1,7,IN
7,12,12,IN
20,14,9,IN
3,5,10,IN
17,15,17,OUT
16,9,18,OUT
10,18,15,OUT
9,13,20,OUT
6,8,8,OUT
15,-1,19,OUT
12,20,16,OUT
11,17,14,OUT
18,6,6,OUT
13,11,13,OUT
3,-1,2,IN
2,-1,3,IN
5,-1,6,IN
4,-1,9,IN
19,-1,10,IN
9,-1,12,IN
6,-1,4,IN
-1,-1,20,IN
17,-1,16,IN
11,-1,14,IN
13,-1,11,OUT
14,-1,19,OUT
12,-1,15,OUT
16,-1,18,OUT
8,-1,13,OUT
15,-1,8,OUT
10,-1,5,OUT
7,-1,7,OUT
1,-1,1,OUT
18,-1,17,OUT
1,-1,1,IN
19,-1,2,IN
2,-1,3,IN
7,-1,4,IN
6,-1,9,IN
5,-1,7,IN
4,-1,5,IN
18,-1,11,IN
3,-1,10,IN
11,-1,15,IN
12,-1,16,OUT
17,-1,6,OUT
16,-1,8,OUT
20,-1,14,OUT
10,-1,17,OUT
13,-1,19,OUT
9,-1,18,OUT
14,-1,20,OUT
15,-1,13,OUT
-1,-1,12,OUT
1,-1,2,IN
2,-1,1,IN
9,-1,5,IN
19,-1,8,IN
4,-1,7,IN
7,-1,11,IN
