@RELATION f1

@ATTRIBUTE position_prev_race NUMERIC
@ATTRIBUTE position_prev_year NUMERIC
@ATTRIBUTE position_qualy     NUMERIC
@ATTRIBUTE 'class' { IN, OUT}

@DATA
13,-1,12,IN
7,-1,15,IN
9,-1,7,IN
12,-1,13,IN
10,-1,9,IN
4,-1,8,OUT
14,-1,18,OUT
16,-1,16,OUT
11,-1,10,OUT
20,-1,22,OUT
18,-1,19,OUT
22,-1,21,OUT
8,-1,11,OUT
15,-1,17,OUT
19,-1,14,OUT
2,-1,2,OUT
17,-1,20,OUT
1,-1,2,IN
21,-1,1,IN
2,-1,9,IN
3,-1,6,IN
18,-1,8,IN
11,-1,3,IN
5,-1,4,IN
9,-1,14,IN
6,-1,11,IN
7,-1,12,IN
14,-1,13,OUT
8,-1,10,OUT
20,-1,16,OUT
10,-1,7,OUT
13,-1,18,OUT
12,-1,17,OUT
15,-1,19,OUT
17,-1,22,OUT
22,-1,21,OUT
16,-1,20,OUT
19,-1,15,OUT
4,-1,5,OUT
1,-1,1,IN
2,-1,2,IN
6,-1,3,IN
5,-1,4,IN
14,-1,6,IN
22,-1,8,IN
4,-1,7,IN
3,-1,11,IN
12,-1,9,IN
10,-1,13,IN
7,-1,18,OUT
8,-1,12,OUT
9,-1,10,OUT
11,-1,5,OUT
13,-1,14,OUT
21,-1,15,OUT
15,-1,16,OUT
16,-1,20,OUT
17,-1,17,OUT
19,-1,19,OUT
18,-1,21,OUT
1,-1,2,IN
2,-1,1,IN
7,-1,5,IN
11,-1,4,IN
3,-1,3,IN
6,-1,6,IN
8,-1,17,IN
5,-1,8,IN
18,-1,11,IN
13,-1,15,IN
17,-1,18,OUT
4,-1,7,OUT
9,-1,9,OUT
15,-1,16,OUT
14,-1,14,OUT
12,-1,13,OUT
10,-1,12,OUT
16,-1,10,OUT
2,-1,1,IN
1,-1,2,IN
4,-1,3,IN
12,-1,5,IN
7,-1,6,IN
6,-1,8,IN
13,-1,10,IN
16,-1,12,IN
8,-1,7,IN
5,-1,4,IN
15,-1,14,OUT
9,-1,18,OUT
10,-1,16,OUT
14,-1,11,OUT
17,-1,17,OUT
18,-1,13,OUT
11,-1,15,OUT
3,-1,9,OUT
2,-1,2,IN
3,-1,4,IN
10,-1,3,IN
18,-1,-1,IN
4,-1,6,IN
8,-1,12,IN
15,-1,11,IN
5,-1,-1,IN
6,-1,8,IN
7,-1,7,IN
9,-1,9,OUT
13,-1,10,OUT
17,-1,14,OUT
1,-1,1,OUT
14,-1,15,OUT
16,-1,13,OUT
-1,-1,18,OUT
-1,-1,17,OUT
12,-1,16,OUT
11,-1,5,OUT
-1,19,1,IN
-1,1,2,IN
-1,-1,4,IN
-1,20,3,IN
-1,-1,11,IN
-1,22,7,IN
-1,6,14,IN
-1,17,16,IN
-1,-1,8,IN
-1,10,15,IN
-1,3,17,OUT
-1,7,5,OUT
-1,-1,12,OUT
-1,15,9,OUT
-1,16,10,OUT
-1,9,13,OUT
-1,2,18,OUT
-1,5,6,OUT
3,-1,2,IN
1,1,1,IN
2,2,3,IN
12,12,11,IN
18,8,9,IN
4,7,7,IN
13,-1,6,IN
9,-1,15,IN
16,10,5,IN
6,16,4,IN
14,11,8,OUT
5,-1,16,OUT
10,22,14,OUT
7,5,13,OUT
-1,-1,19,OUT
15,21,12,OUT
11,6,17,OUT
-1,4,18,OUT
8,14,10,OUT
-1,-1,-1,OUT
2,1,1,IN
3,2,2,IN
1,-1,3,IN
4,8,6,IN
6,15,4,IN
5,7,5,IN
11,21,8,IN
12,-1,9,IN
10,4,7,IN
19,20,10,IN
13,9,15,OUT
18,3,18,OUT
8,-1,14,OUT
17,11,17,OUT
20,-1,19,OUT
